full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
ericbuess/claude-code-docs,752,752,104,0,0,0,https://github.com/ericbuess/claude-code-docs
ccplugins/awesome-claude-code-plugins,647,647,153,0,0,1,https://github.com/ccplugins/awesome-claude-code-plugins
bytedance/deer-flow,43465,43465,5112,682,682,97,https://github.com/bytedance/deer-flow
opactorai/Claudable,3829,3829,575,3829,3829,575,https://github.com/opactorai/Claudable
anthropics/claude-agent-sdk-python,5714,5714,767,3,3,1,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,9214,9214,588,6,6,1,https://github.com/numman-ali/openskills
disler/pi-vs-claude-code,546,546,158,3,3,1,https://github.com/disler/pi-vs-claude-code
MadAppGang/claude-code,246,246,26,0,0,0,https://github.com/MadAppGang/claude-code
PleasePrompto/notebooklm-skill,4989,4989,521,4989,4989,521,https://github.com/PleasePrompto/notebooklm-skill
greggh/claude-code.nvim,1950,1950,63,0,0,0,https://github.com/greggh/claude-code.nvim
anomalyco/opencode,129659,129659,13736,115,115,25,https://github.com/anomalyco/opencode
lyconear/Claude-Code,4,4,149,0,0,0,https://github.com/lyconear/Claude-Code
